identifier	plaats	adres	locatie	postcode	breedtegraad	lengtegraad	straat-id	voorstelling	opschrift	datering	afbeelding 1	afbeelding klein 1	afbeelding 2	afbeelding klein 2
kattensingel01-oud	Gouda	Kattensingel 1		2801CA	52.0120331	4.703128	https://www.goudatimemachine.nl/id/straten/kattensingel	drie bomen	BLEKERIJ DE DRIE NOTENBOOMEN 1849 L JASPERS EN ZOON	1849	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Kattensingel01-oud.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Kattensingel01-oud_small.jpg		
kattensingel09	Gouda	Kattensingel 9	(pand afgebroken, reliëf herplaatst in portiek nieuwbouw)	2801CA	52.0124973	4.703333	https://www.goudatimemachine.nl/id/straten/kattensingel	esculaap + laboratoriuminstrumenten			https://static.coret.org/img/goudatimemachine/gevelstenen.net/Kattensingel09.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Kattensingel09_small.jpg		
kattensingel62	Gouda	Kattensingel 62-69	(uithangbeeld)	2801CC	52.0147333	4.7065232	https://www.goudatimemachine.nl/id/straten/kattensingel	haan	DE BLAAUWE HAAN		https://static.coret.org/img/goudatimemachine/gevelstenen.net/Kattensingel62.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Kattensingel62_small.jpg		
kattensingel85	Gouda	Kattensingel 85-94		2801CE	52.0155559	4.7085182	https://www.goudatimemachine.nl/id/straten/kattensingel	kat		20e	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Kattensingel85.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Kattensingel85_small.jpg		
regentesseplantsoen22b	Gouda	Regentesseplantsoen 22B		2801CL	52.0137134	4.7069874	https://www.goudatimemachine.nl/id/straten/regentesseplantsoen	metamorfosen, vogels en vissen		20e	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Regentesseplantsoen22B.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Regentesseplantsoen22B_small.jpg		
nieuwehaven148	Gouda	Nieuwehaven 148		2801EC	52.0134426	4.7073071	https://www.goudatimemachine.nl/id/straten/nieuwehaven	wapen tams	FONDATIE VAN MARIATAMS 1657	1657	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Nieuwehaven148.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Nieuwehaven148_small.jpg		
nieuwehaven246	Gouda	Nieuwehaven 246-270		2801EE	52.012642	4.7059226	https://www.goudatimemachine.nl/id/straten/nieuwehaven	wapen cincq	DIT IS DE FUNDATIE VAN DE HEER MR CORNELIS CINCQ 1700	1700	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Nieuwehaven246.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Nieuwehaven246_small.jpg		
nieuwehaven274	Gouda	Nieuwehaven 274-276		2801EE	52.012565	4.7057726	https://www.goudatimemachine.nl/id/straten/nieuwehaven	wapen letmaet	FONDATIE VAN SA CHRISTINA GHYSBERTS WEDVWE WYLEN MEESTER FLORIS HENRICKEN LETMAET ANNO 1625	1625	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Nieuwehaven274.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Nieuwehaven274_small.jpg		
nieuwehaven302	Gouda	Nieuwehaven 302		2801EG	52.0124009	4.7054533	https://www.goudatimemachine.nl/id/straten/nieuwehaven	leeuw, hert in bos (2x)		21a	https://static.coret.org/img/goudatimemachine/gevelstenen.net/NieuweHaven302a.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/NieuweHaven302a_small.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/NieuweHaven302b.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/NieuweHaven302b_small.jpg
nieuwehaven334	Gouda	Nieuwehaven 334		2801EG	52.0119108	4.7045823	https://www.goudatimemachine.nl/id/straten/nieuwehaven	eendracht	DE EENDRAGT	20e	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Nieuwehaven334.jpg	https://static.coret.org/img/goudatimemachine/gevelstenen.net/Nieuwehaven334_small.jpg		
